"metric","treatment","estimate","se","lwr","upr","p","sig.code"
"FD.Bi.Ba","AMF",-0.194302920688673,0.434954145326056,-1.21110332899942,0.533961417419003,0.57824427480916,""
"FD.Bi.Ba","AMFEMF",-0.0410990048882689,0.445157647848405,-0.894961678336035,0.872993866404004,0.931184128952263,""
"FD.Bi.Ba","EMF",0.593137363324372,0.375232117276465,0.233137533514221,1.63763236878262,0.000203500203500203,"***"
"FD.Bi.Ba","Sterile",0.510993100305286,0.345058958098146,0.163659225383973,1.4445722585576,0.00121432908318154,"**"
"ND","AMF",0.312165724985396,0.373783817366557,-0.215743918457172,1.24273082154608,0.214588634435963,""
"ND","AMFEMF",0.173969836576147,0.380497890014949,-0.43204854624248,1.02988279320277,0.48853068815871,""
"ND","EMF",0.0742744921201312,0.273887380279039,-0.373098769081521,0.689432386947453,0.688848188848189,""
"ND","Sterile",-0.00894213929571007,0.249976332317647,-0.577317934194136,0.355702967067193,0.998380894555758,""
"f.Bi.f.Ba","AMF",0.823408439034983,0.429301643603677,0.297868502854267,1.70567849594376,0,"***"
"f.Bi.f.Ba","AMFEMF",0.959734106875983,1.07070670419725,0.408623318323452,2.39406823195199,0,"***"
"f.Bi.f.Ba","EMF",1.80965707015495,2.7177391069048,1.26255511158346,5.14297882516837,0,"***"
"f.Bi.f.Ba","Sterile",1.66694581760712,1.62269051892701,1.17781288207349,4.24003816121123,0,"***"
"rho","AMF",0.731860230651534,0.280921294027296,0.288595102445817,1.24078463831131,0,"***"
"rho","AMFEMF",0.840322244272187,0.448702990776173,0.357048994240958,1.54040991785676,0,"***"
"rho","EMF",0.928416815761751,0.347806174184762,0.50186090638412,1.45222797678903,0,"***"
"rho","Sterile",1.00898223966187,0.50370990649657,0.700680729262471,1.78125466426557,0,"***"
